web-scraper-order,web-scraper-start-url,Titre,Etat_Clim,Adresse,Prix,url,url-href,url_image-src
"1738160558-80","https://www.expat-dakar.com/climatisation","SPLIT 3CV GREE 24000BTU R410 A++","Neuf","Plateau,
                                                                                Dakar","359 000 F Cfa","SPLIT 3CV GREE 24000BTU R410 A++
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        mercredi, 14:16
                                    
                    359 000 F Cfa
                        
                        776862827","https://www.expat-dakar.com/annonce/split-3cv-gree-24000btu-r410-a-5792604","https://i.roamcdn.net/hz/ed/listing-thumb-543w/619fcb38da3616c1ac6bfde7877ff7c3/-/horizon-files-prod/ed/picture/q9m8v0jj/c8d0dee98383824faef609a342517c8155e420a5.jpg"
"1738160579-81","https://www.expat-dakar.com/climatisation","SPLIT 3C INVERTER ROCH 24000BTU A+++","Neuf","Plateau,
                                                                                Dakar","369 000 F Cfa","SPLIT 3C INVERTER ROCH 24000BTU A+++
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        mercredi, 14:01
                                    
                    369 000 F Cfa
                        
                        781066640
                    
                        781066640","https://www.expat-dakar.com/annonce/split-3c-inverter-roch-24000btu-a-5792620","https://i.roamcdn.net/hz/ed/listing-thumb-543w/0e2c5a8e860f5db3f0c023d0ee6af61f/-/horizon-files-prod/ed/picture/qen5kdv6/b54328b2d2e3b4d635dda8af1ffd3fa99d8c911c.jpg"
"1738160599-82","https://www.expat-dakar.com/climatisation","SPLIT BEKO 1.5CV INVERTER 12000BTU","Neuf","Plateau,
                                                                                Dakar","269 000 F Cfa","SPLIT BEKO 1.5CV INVERTER 12000BTU
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        samedi, 01:18
                                    
                    269 000 F Cfa
                        
                        770723466","https://www.expat-dakar.com/annonce/split-beko-15cv-inverter-12000btu-5799647","https://i.roamcdn.net/hz/ed/listing-thumb-543w/f487cb912d5af34f7ea024dcdecbdbbb/-/horizon-files-prod/ed/picture/q0g24v48/adacc04d4e90b4328f034d81b537513cc9d27525.jpg"
"1738160620-83","https://www.expat-dakar.com/climatisation","SPLIT LG 1.5CV DUAL INVERTER 12000BTU","Neuf","Plateau,
                                                                                Dakar","298 000 F Cfa","SPLIT LG 1.5CV DUAL INVERTER 12000BTU
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        14. janv., 15:29
                                    
                    298 000 F Cfa
                        
                        784626090
                    
                        784626090","https://www.expat-dakar.com/annonce/split-lg-15cv-dual-inverter-12000btu-5799649","https://i.roamcdn.net/hz/ed/listing-thumb-543w/9de48c361aba4df539b7d38960ab821b/-/horizon-files-prod/ed/picture/qngdq8qw/faf9b6484c98ce359455d2c1786186aadb830533.jpg"
"1738160640-84","https://www.expat-dakar.com/climatisation","SPLIT LG 1.5CV SMART INVERTER 12000BTU","Neuf","Plateau,
                                                                                Dakar","298 000 F Cfa","SPLIT LG 1.5CV SMART INVERTER 12000BTU
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        mercredi, 19:21
                                    
                    298 000 F Cfa
                        
                        777510319
                    
                        777510319","https://www.expat-dakar.com/annonce/split-lg-15cv-smart-inverter-12000btu-5799650","https://i.roamcdn.net/hz/ed/listing-thumb-543w/15105ea954dd60d28c6fc31b6a1d3d0b/-/horizon-files-prod/ed/picture/qwez606j/03110b5c04cf59159e0dec63dbac0047aeb00b06.jpg"
"1738160661-85","https://www.expat-dakar.com/climatisation","SPLIT SHARP 1.5CV INVERTER 12000BTU","Neuf","Plateau,
                                                                                Dakar","259 000 F Cfa","SPLIT SHARP 1.5CV INVERTER 12000BTU
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        14. janv., 08:18
                                    
                    259 000 F Cfa
                        
                        776096472
                    
                        776096472","https://www.expat-dakar.com/annonce/split-sharp-15cv-inverter-12000btu-5799655","https://i.roamcdn.net/hz/ed/listing-thumb-543w/0c835cfd1b9611356b648436efe3fd9b/-/horizon-files-prod/ed/picture/qxj6797m/53e669be36daf856b9dab5bc144c3655bbc9a5a0.jpg"
"1738160681-86","https://www.expat-dakar.com/climatisation","SPLIT 1.5CV INVERTER BLOMBERG 12000BTU","Neuf","Plateau,
                                                                                Dakar","229 000 F Cfa","SPLIT 1.5CV INVERTER BLOMBERG 12000BTU
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        14. janv., 14:02
                                    
                    229 000 F Cfa
                        
                        774714823","https://www.expat-dakar.com/annonce/split-15cv-inverter-blomberg-12000btu-5799657","https://i.roamcdn.net/hz/ed/listing-thumb-543w/7dde7f6e62de866f9749a739c2106aac/-/horizon-files-prod/ed/picture/qgqg676e/3e09ffde1cd0a2cdd844b490390eac582ad6e4b4.jpg"
"1738160702-87","https://www.expat-dakar.com/climatisation","SPLIT FINIX 48000BTU ARMOIRE R410","Neuf","Plateau,
                                                                                Dakar","950 000 F Cfa","SPLIT FINIX 48000BTU ARMOIRE R410
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        14. janv., 14:02
                                    
                    950 000 F Cfa
                        
                        774714823","https://www.expat-dakar.com/annonce/split-finix-48000btu-armoire-r410-5801051","https://i.roamcdn.net/hz/ed/listing-thumb-543w/8928c011db0fc6c797de7dbf0fa17013/-/horizon-files-prod/ed/picture/qq4drex7/943d969410c3117972290d96338c7319cf784f63.jpg"
"1738160722-88","https://www.expat-dakar.com/climatisation","SPLIT 60000BTU SMART TECHNOLOGY ARMOIRE","Neuf","Plateau,
                                                                                Dakar","869 000 F Cfa","SPLIT 60000BTU SMART TECHNOLOGY ARMOIRE
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        lundi, 15:04
                                    
                    869 000 F Cfa
                        
                        781066640
                    
                        781066640","https://www.expat-dakar.com/annonce/split-60000btu-smart-technology-armoire-5802615","https://i.roamcdn.net/hz/ed/listing-thumb-543w/749f0e64afa413e5ec222c3d2553ea88/-/horizon-files-prod/ed/picture/qj4j0n86/58580fac9821fb79d3c63355c3d39b68233e366d.jpg"
"1738160785-89","https://www.expat-dakar.com/climatisation","SPLIT LG ARTCOOL 1.5CV INVERTER 12000BTU","Neuf","Plateau,
                                                                                Dakar","419 000 F Cfa","SPLIT LG ARTCOOL 1.5CV INVERTER 12000BTU
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        14. janv., 14:00
                                    
                    419 000 F Cfa
                        
                        774714823","https://www.expat-dakar.com/annonce/split-lg-artcool-15cv-inverter-12000btu-5802647","https://i.roamcdn.net/hz/ed/listing-thumb-543w/21d553f070756cc1997bfd040c57d2f2/-/horizon-files-prod/ed/picture/q0g24qq6/d8e3751381849dc66bd4ec2d9f7108f1e1248956.jpg"
