web-scraper-order,web-scraper-start-url,Titre,Etat_machine,Adresse,Prix,url,url-href,url_image-src
"1738242968-232","https://www.expat-dakar.com/machines-a-laver","Machine à laver deska 7kg","Neuf","Plateau,
                                                                                Dakar","170 000 F Cfa","Machine à laver deska 7kg
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        8. janv., 19:28
                                    
                    170 000 F Cfa
                        
                        770126906","https://www.expat-dakar.com/annonce/machine-a-laver-deska-7kg-6250279","https://i.roamcdn.net/hz/ed/listing-thumb-543w/fd237203cf4c8bdeba36d079413c615c/-/horizon-files-prod/ed/picture/qgqw72ek/15471421eb0252da40649626a6375953de448331.jpg"
"1738242988-233","https://www.expat-dakar.com/machines-a-laver","Machine à laver Astech 7kg","Neuf","Plateau,
                                                                                Dakar","175 000 F Cfa","Machine à laver Astech 7kg
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        8. janv., 09:34
                                    
                    175 000 F Cfa
                        
                        770126906","https://www.expat-dakar.com/annonce/machine-a-laver-astech-7kg-6250284","https://i.roamcdn.net/hz/ed/listing-thumb-543w/c5b1f2d32c40f7226dd0667dd0481017/-/horizon-files-prod/ed/picture/qde7mxp8/ca441c4e7f987853534c4909753a5f19ecc15571.jpg"
"1738243007-234","https://www.expat-dakar.com/machines-a-laver","macine à laver hisense 10kg inverter +wifi","Neuf","Ouakam,
                                                                                Dakar","299 998 F Cfa","macine à laver hisense 10kg inverter +wifi
                                Neuf
                                                                                    Ouakam,
                                                                                Dakar
                                    
                                        8. janv., 10:48
                                    
            284 900 F Cfa
        
                    299 998 F Cfa
                        
            Économisez 5%
        
                        770521414
                    
                        709557473","https://www.expat-dakar.com/annonce/macine-a-laver-hisense-10kg-inverter-wifi-6181435","https://i.roamcdn.net/hz/ed/listing-thumb-543w/4d1636a6ba19ee22d93c2eaedccfe566/-/horizon-files-prod/ed/picture/qgqwd0j4/9885d6ff0ce513bce02c07ca4cc04cf3a8a24f8d.jpg"
"1738243028-235","https://www.expat-dakar.com/machines-a-laver","Machine à laver 7Kg Elactron","Neuf","Plateau,
                                                                                Dakar","185 000 F Cfa","Machine à laver 7Kg Elactron
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        9. janv., 08:30
                                    
                    185 000 F Cfa
                        
                        774578888
                    
                        338238580
                    
                        784455800","https://www.expat-dakar.com/annonce/machine-a-laver-7kg-elactron-6013107","https://i.roamcdn.net/hz/ed/listing-thumb-543w/2c32b7b2fe390b1ca08f08fb817a958c/-/horizon-files-prod/ed/picture/qq47xne4/119a10528103482d0cd58105b2bbe67709002efc.jpg"
"1738243048-236","https://www.expat-dakar.com/machines-a-laver","Machine à laver Astech ( 7Kg )","Neuf","Plateau,
                                                                                Dakar","250 000 F Cfa","Machine à laver Astech ( 7Kg )
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        9. janv., 08:36
                                    
                    250 000 F Cfa
                        
                        774578888
                    
                        338238580
                    
                        784455800","https://www.expat-dakar.com/annonce/machine-a-laver-astech-7kg-5201849","https://i.roamcdn.net/hz/ed/listing-thumb-543w/0946f69d0525e9f57937d2cd07c03335/-/horizon-files-prod/ed/picture/qng5pzkv/12dc4ff4cd29919ef1346d724c20dcbe3db9322d.jpg"
"1738243068-237","https://www.expat-dakar.com/machines-a-laver","Machine à laver 12Kg Inverter Elactron","Neuf","Plateau,
                                                                                Dakar","360 000 F Cfa","Machine à laver 12Kg Inverter Elactron
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        9. janv., 10:14
                                    
                    360 000 F Cfa
                        
                        774578888
                    
                        338238580
                    
                        784455800","https://www.expat-dakar.com/annonce/machine-a-laver-12kg-inverter-elactron-6013134","https://i.roamcdn.net/hz/ed/listing-thumb-543w/784a67882376f1a43377aa0efd11bc71/-/horizon-files-prod/ed/picture/qm5pq726/9d1f9d88b19e71ed3a3003ab383d5b33513b84f7.jpg"
"1738243088-238","https://www.expat-dakar.com/machines-a-laver","Machine à laver 9kg inverter","Neuf","Plateau,
                                                                                Dakar","239 900 F Cfa","Machine à laver 9kg inverter
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        9. janv., 10:21
                                    
                    239 900 F Cfa
                        
                        778452442
                    
                        778452442","https://www.expat-dakar.com/annonce/machine-a-laver-9kg-inverter-6038168","https://i.roamcdn.net/hz/ed/listing-thumb-543w/baf5758548de4952c25bb6f882226258/-/horizon-files-prod/ed/picture/qv4e645w/7c5db8f3209735e51afae3a78e46679b113b77b9.jpg"
"1738243108-239","https://www.expat-dakar.com/machines-a-laver","ROCH MACHINE A LAVER RWM- 70S-H 7KG (A+++)","Neuf","Liberte 6,
                                                                                Dakar","194 900 F Cfa","ROCH MACHINE A LAVER RWM- 70S-H 7KG (A+++)
                                Neuf
                                                                                    Liberte 6,
                                                                                Dakar
                                    
                                        vendredi, 19:23
                                    
                    194 900 F Cfa
                        
                        765764545
                    
                        765764545","https://www.expat-dakar.com/annonce/roch-machine-a-laver-rwm-70s-h-7kg-a-6235364","https://i.roamcdn.net/hz/ed/listing-thumb-543w/c6632a5201485c5850d6be5bb4c09842/-/horizon-files-prod/ed/picture/qenvmjgz/210160ac088188f50c1034f78db3ca46bc7966a9.jpg"
"1738243128-240","https://www.expat-dakar.com/machines-a-laver","Machine à laver","Neuf","Parcelles Assainies,
                                                                                Dakar","75 000 F Cfa","Machine à laver
                                Neuf
                                                                                    Parcelles Assainies,
                                                                                Dakar
                                    
                                        samedi, 10:12
                                    
                    75 000 F Cfa
                        
                        770960424","https://www.expat-dakar.com/annonce/machine-a-laver-6259294","https://i.roamcdn.net/hz/ed/listing-thumb-543w/477391e5e3a7a0f51debb953e265b304/-/horizon-files-prod/ed/picture/qwepx4wk/99d9e5fc2f794b84f115a424b2388a2eb8a64e85.jpg"
"1738243148-241","https://www.expat-dakar.com/machines-a-laver","MACHINE A LAVER 7KGS FINIX WG1049","Neuf","Plateau,
                                                                                Dakar","185 000 F Cfa","MACHINE A LAVER 7KGS FINIX WG1049
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        mardi, 10:13
                                    
                                            Vendeur vérifié
                                        
                    185 000 F Cfa
                        
                        786374400","https://www.expat-dakar.com/annonce/machine-a-laver-7kgs-finix-wg1049-5928709","https://i.roamcdn.net/hz/ed/listing-thumb-543w/14ba45fdba09b6ffea7bcc6dfd825aba/-/horizon-files-prod/ed/picture/q4480v6v/4a58c82042b50937590377ca87bb9abc28edf5e4.jpg"
